  ,C16:0,C16:1w9,C16:1w7,C17:0,C17:1w8,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:3w3,C20:0,C20:1w9,C22:0,C24:0,Squalene 
AP01 ,13.22,0.1,1.01,0.06,0.11,2.03,71.06,2.61,8.37,0.69,0.34,0.24,0.11,0.05,0.65 
AP02 ,14.32,0.12,1.06,0.09,0.16,2.34,67.34,2.51,10.74,0.55,0.38,0.22,0.11,0.05,0.59 
AP03 ,14,0.12,1.06,0.1,0.17,2.24,68.13,2.56,10.33,0.56,0.36,0.21,0.11,0.05,0.62 
AP04 ,13.84,0.11,0.9,0.08,0.14,2.38,67.67,2.29,11.28,0.57,0.37,0.2,0.11,0.06,0.58 
AP05 ,13.69,0.12,1.03,0.12,0.21,2.4,68.92,2.51,9.69,0.55,0.38,0.21,0.12,0.05,0.6 
AP06 ,13.98,0.12,1.02,0.07,0.12,2.22,67.33,2.47,11.36,0.57,0.36,0.22,0.11,0.05,0.59 
AP07 ,13.18,0.11,1.01,0.13,0.26,2.18,71.54,2.51,7.84,0.52,0.35,0.21,0.11,0.05,0.68 
AP08 ,13.71,0.12,1.02,0.11,0.21,2.39,68.95,2.5,9.69,0.54,0.37,0.21,0.12,0.06,0.61 
AP09 ,13.21,0.11,0.97,0.12,0.21,2.27,71.22,2.41,8.2,0.56,0.35,0.21,0.11,0.05,0.67 
AP10 ,14.65,0.1,1.17,0.06,0.1,2.13,66.69,2.71,11.07,0.58,0.36,0.21,0.11,0.06,0.63 
AP11 ,14.71,0.1,1.16,0.1,0.19,2.21,67.86,2.74,9.67,0.54,0.36,0.21,0.1,0.05,0.74 
AP12 ,13.83,0.11,0.91,0.08,0.14,2.38,67.63,2.28,11.31,0.57,0.37,0.21,0.12,0.06,0.61 
AP13 ,14.72,0.1,1.45,0.11,0.22,2,68.29,3.11,8.73,0.57,0.33,0.21,0.1,0.06,0.76 
AP14 ,12.45,0.12,0.86,0.09,0.17,2.06,73.15,2.33,7.5,0.53,0.34,0.24,0.11,0.05,0.58 
