  ,PROTREF,dur/tendre
3T1A1      ,8.9,T
3T1A2      ,8.7,T
3T1H1      ,11.6,T
3T1H2      ,12.7,T
3T2A1      ,9.1,T
3T2A2      ,9.5,T
3T2H1      ,13,T
3T2H2      ,13.6,T
3T3A1      ,10.2,T
3T3A2      ,9.6,T
3T3H1      ,12.2,T
3T3H2      ,13.9,T
3T4A1      ,9.3,T
3T4A2      ,8.6,T
3T4H1      ,10.9,T
3T4H2      ,11.9,T
3T5A1      ,9.7,T
3T5A2      ,8.8,T
3T5H1      ,11.8,T
3T5H2      ,13.1,T
3T6A1      ,9.1,T
3T6A2      ,8.2,T
3T6H1      ,11.3,T
3T6H2      ,12.1,T
3T7A1      ,9.9,T
3T7A2      ,9.9,T
3T7H2      ,13,T
3T8A1      ,9.9,T
3T8A2      ,8.6,T
3T8H1      ,11.6,T
3T8H2      ,12.8,T
3T9A1      ,8.4,T
3T9A2      ,7.6,T
3T9H1      ,11.1,T
3T9H2      ,12.1,T
4T1A1      ,9.1,T
4T1A2      ,11.6,T
4T2A1      ,10.3,T
4T2A2      ,11.7,T
4T3A1      ,11.1,T
4T3A2      ,12,T
4T4A1      ,10.4,T
4T4A2      ,11.3,T
4T5A1      ,9.8,T
4T5A2      ,12.1,T
4T6A1      ,9.7,T
4T6A2      ,11.2,T
4T7A1      ,10.7,T
4T7A2      ,11.8,T
4T8A1      ,12.1,T
4T8A2      ,12.2,T
4T9A1      ,9.8,T
4T9A2      ,11.9,T
4T1H2      ,13,T
4T2H2      ,14.1,T
4T3H2      ,12.2,T
4T4H2      ,11.9,T
4T5H2      ,13.5,T
4T6H2      ,11.5,T
4T7H2      ,12.9,T
4T8H2      ,13,T
4T9H2      ,11.7,T
3D1A1      ,11.3,D
3D1A2      ,12.5,D
3D2A1      ,11.2,D
3D2A2      ,13,D
3D3A1      ,11.7,D
3D3A2      ,12.9,D
3D4A1      ,12.1,D
3D4A2      ,13.1,D
3D5A1      ,11.9,D
3D5A2      ,15.1,D
3D6A1      ,10.8,D
3D6A2      ,11.8,D
3D7A1      ,11.5,D
3D7A2      ,12.8,D
3D8A1      ,11.3,D
3D8A2      ,12.3,D
3D9A1      ,11,D
3D9A2      ,12.3,D
3D1H1      ,13.8,D
3D1H2      ,16.4,D
3D2H1      ,13.3,D
3D2H2      ,14.3,D
3D3H1      ,15.5,D
3D3H2      ,16.8,D
3D4H1      ,16.5,D
3D4H2      ,18.2,D
3D5H1      ,14.1,D
3D5H2      ,17.3,D
3D6H1      ,15.8,D
3D6H2      ,14.8,D
3D7H1      ,16.8,D
3D7H2      ,17.4,D
3D8H1      ,15.9,D
3D8H2      ,18,D
3D9H1      ,16.2,D
3D9H2      ,16.3,D
3DXH1      ,14.1,D
3DXH2      ,16.4,D
4D1H1      ,14.52,D
4D1H2      ,15.63,D
4D2H1      ,15.24,D
4D2H2      ,15.87,D
4D3H1      ,15.63,D
4D3H2      ,16.19,D
4D4H1      ,17.21,D
4D4H2      ,16.8,D
4D5H1      ,15.96,D
4D5H2      ,17.6,D
4D6H1      ,16.78,D
4D6H2      ,15.7,D
4D7H1      ,15.81,D
4D7H2      ,16.38,D
4D8H1      ,16.38,D
4D8H2      ,15.8,D
4D9H1      ,17.12,D
4D9H2      ,16.32,D
4DXH1      ,15.39,D
4DXH2      ,15.25,D
4D1A1      ,9.8,D
4D1A2      ,11.8,D
4D2A1      ,9.7,D
4D2A2      ,12.1,D
4D3A1      ,10.2,D
4D3A2      ,12.1,D
4D4A1      ,11.3,D
4D4A2      ,13,D
4D5A1      ,9.9,D
4D5A2      ,12.1,D
4D6A1      ,10.1,D
4D6A2      ,12.1,D
4D7A1      ,11,D
4D7A2      ,12.8,D
4D8A1      ,10.1,D
4D8A2      ,11.7,D
4D9A1      ,9.9,D
4D9A2      ,12.1,D
4DXA1      ,9.8,D
4DXA2      ,11.7,D
